signature,cluster_size,locator_id_stability,locator_name_stability,locator_class_stability,locator_linkText_stability,locator_partialLinkText_stability,locator_xpath_stability,locator_css_stability
a||||||alibaba international,96,0.0,0.0,0.0,1.0,1.0,0.5104166666666666,0.5104166666666666
a||||||aliexpress,96,0.0,0.0,0.0,1.0,1.0,0.5104166666666666,0.5104166666666666
a||||||aliexpress'e hoş geldiniz,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||aliexpressachetez mâlin, vivez mieux !",3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||aliexpresscompre fácil, viva melhor!",6,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0
"a||||||aliexpressdaha akıllı alışveriş, daha i̇yi yaşam!",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||aliexpressfatti furbo! spendi bene, vivi meglio.",2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||aliexpressklüger kaufen, besser leben!",3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||aliexpressmądrzejsze zakupy, lepsze życie!",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||aliexpressslimmer kopen,beter leven!",2,0.0,0.0,0.0,1.0,1.0,0.5,1.0
"a||||||aliexpresssmarter shopping, better living!",65,0.0,0.0,0.0,1.0,1.0,0.6307692307692307,1.0
"a||||||aliexpress¡compra fácil, vive mejor!",5,0.0,0.0,0.0,1.0,1.0,0.8,1.0
"a||||||aliexpressпокупай умнее, живи веселее!",5,0.0,0.0,0.0,1.0,1.0,0.8,1.0
a||||||aliexpressالتسوق أكثر ذكاء، وأفضل المعيشة!,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||aliexpressへようこそ,2,0.0,0.0,0.0,1.0,1.0,0.5,1.0
a||||||aliexpressよりよい生活のためにもっと賢く買い物する。,2,0.0,0.0,0.0,1.0,1.0,0.5,1.0
a||||||alimama,96,0.0,0.0,0.0,1.0,1.0,0.5104166666666666,0.5104166666666666
a||||||alios,78,0.0,0.0,0.0,1.0,1.0,0.5384615384615384,0.5384615384615384
a||||||alipay,96,0.0,0.0,0.0,1.0,1.0,0.5104166666666666,0.5104166666666666
a||||||alitelecom,96,0.0,0.0,0.0,1.0,1.0,0.5104166666666666,0.5104166666666666
a||||||all categories,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||all popular,79,0.0,0.0,0.0,1.0,1.0,0.4050632911392405,0.4050632911392405
a||||||alles sehen>,2,0.0,0.0,0.0,1.0,1.0,0.5,0.5
a||||||alles zien>,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||alıcı koruması,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||amplifiers,2,0.0,0.0,0.0,1.0,1.0,0.5,0.5
a||||||aménagement maison,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||an unserer feedbackumfrage teilnehmen,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||animal crossing,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||anime shirt,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||anmelden,3,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666
a||||||app,37,0.0,0.0,0.0,1.0,1.0,0.7297297297297297,1.0
a||||||app store,96,0.0,0.0,1.0,1.0,1.0,0.5104166666666666,0.5104166666666666
a||||||apple watch,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||apple watch serie 5,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||apple watch strap,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||appliance,4,0.0,0.0,0.0,1.0,1.0,0.75,1.0
a||||||aquarium,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||arabic,79,0.0,0.0,0.0,1.0,1.0,0.46835443037974683,0.46835443037974683
a||||||arcade,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||arduino,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||artificial plants,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||aspirateur,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||atención al cliente,9,0.0,0.0,0.0,1.0,1.0,0.4444444444444444,0.4444444444444444
a||||||atendimento ao cliente,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||attache sucette,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||atv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||até 70% desc.,10,0.0,0.0,0.0,1.0,1.0,0.1,0.1
a||||||automobile & motorräder,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||automobiles & motorcycles,20,0.0,0.0,0.0,1.0,1.0,0.45,0.95
a||||||automobiles & motoren,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||automóveis e motocicletas,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||baby boy clothes,2,0.0,0.0,0.0,1.0,1.0,0.5,0.5
a||||||baby crib,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||baby girl halloween,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||baby girl sandals,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||babyshower,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||backpack,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||backpack purse,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||bags,19,0.0,0.0,0.0,1.0,1.0,0.47368421052631576,1.0
a||||||bahasa indonesia,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||baixe o aplicativo,6,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
a||||||baking,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||ballons,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||barato,4,0.0,0.0,0.0,1.0,1.0,0.5,0.5
a||||||bas prix,3,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666
a||||||bath toys,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||beauty,3,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
a||||||beauty & gezondheid,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||beauty & health,5,0.0,0.0,0.0,1.0,1.0,0.6,0.8
a||||||bed,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||bedroom,2,0.0,0.0,0.0,1.0,1.0,0.5,0.5
a||||||bedroom decor,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||bedroom furniture,2,0.0,0.0,0.0,1.0,1.0,0.5,1.0
a||||||bedroom set,2,0.0,0.0,0.0,1.0,1.0,0.5,0.5
a||||||beleza & saúde,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||belt,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||bereich für neue benutzer,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||bestseller,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||bestselling,9,0.0,0.0,0.0,1.0,1.0,0.5555555555555556,1.0
a||||||betalen,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||bezorgingsopties,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||bicycle,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||big discounts,3,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666
a||||||bijoux,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||bijoux et montres,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||birthday party decorations kids,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||bjd,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||black friday,36,0.0,0.0,0.0,1.0,1.0,0.5277777777777778,0.5277777777777778
a||||||blitz deals,2,0.0,0.0,1.0,1.0,1.0,0.5,0.5
a||||||block heel sandal,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||blog,39,0.0,0.0,0.0,1.0,1.0,0.48717948717948717,0.48717948717948717
a||||||blouse,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||board game,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||bob femme,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||body pillow,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||bolsas,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||bolsas e sapatos,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||bombilla led e27,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||botines,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||bottine femme,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||brand exclusives,2,0.0,0.0,0.0,1.0,1.0,0.5,1.0
a||||||brand zone,16,0.0,0.0,1.0,1.0,1.0,0.5625,0.5625
a||||||brands shopping week,2,0.0,0.0,0.0,1.0,1.0,0.5,0.5
a||||||brass knuckels,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||bridesmaid dresses,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||brochas maquillaje,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||builder gel,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||buyer protection,225,0.0,0.0,0.0,1.0,1.0,0.13777777777777778,0.14222222222222222
a||||||bébé,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||cabelo,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||calvin klein,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||camara termica,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||camera,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||camera bag,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||car,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||car decal,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||car dvr,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||carrello,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||carrinho,4,0.0,0.0,0.0,1.0,1.0,0.5,0.75
a||||||carry on luggage,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||cart,34,0.0,0.0,0.0,1.0,1.0,0.5294117647058824,0.9705882352941176
a||||||casa e jardim,2,0.0,0.0,1.0,1.0,1.0,0.5,0.5
a||||||categorias,3,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0
a||||||categorie,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||categories,32,0.0,0.0,0.0,1.0,1.0,0.71875,1.0
a||||||categorieën,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||categorías,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||celebrity dresses,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||cell phone holder,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||cellphones & telecommunicatie,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||celular,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||centre pieces,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||centro de vendedor,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||centro venditori,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||cep,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||cerradura puerta,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||cesta,3,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0
a||||||champion t shirt,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||chanclas mujer 2019,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||channel,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||chargeur samsung,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||charte de confidentialité et de cookies,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||chaussures,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||cheap stuff,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||children clothing,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||china brands,23,0.0,0.0,0.0,1.0,1.0,0.2608695652173913,0.2608695652173913
a||||||chrome cast,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||chunky glitter,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||chunky sneakers,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||cocktail dresses,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||coffee table,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||coin des marques,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||comentários,4,0.0,0.0,0.0,1.0,1.0,0.5,0.5
a||||||comment payer,3,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666
a||||||commentaires,3,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666
a||||||comparer,3,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666
a||||||compra ora,10,0.0,0.0,0.0,1.0,1.0,0.1,0.1
a||||||comprar,3,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
a||||||computador portatil,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||computer,5,0.0,0.0,0.0,1.0,1.0,0.6,0.8
a||||||computer & büro,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||computer & kantoor,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||computer & office,16,0.0,0.0,0.0,1.0,1.0,0.5625,0.9375
a||||||conditions d'utilisation,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||consiga cupons e ofertas,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||consumentenelektronica,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||consumer electronics,20,0.0,0.0,0.0,1.0,1.0,0.45,0.95
a||||||controladora dj,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||copo,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||coronavirus,5,0.0,0.0,0.0,1.0,1.0,0.4,0.4
a||||||cotton yarn,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||couple,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||couple pajamas,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||coupon time: play. vote. earn.,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||crear una cuenta,5,0.0,0.0,0.0,1.0,1.0,0.4,0.4
a||||||crib,2,0.0,0.0,0.0,1.0,1.0,0.5,0.5
a||||||crie uma conta,6,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
a||||||crop top hoodie,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||cropped hoodie,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||cross body bags,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||créer un compte,3,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666
a||||||cuisine rangement,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||customer service,160,0.0,0.0,0.0,1.0,1.0,0.25,0.25
a||||||cute socks,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||dab pen,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||dad hat,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||dameskleding & accessoires,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||dash cam,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
"a||||||datenschutzerklärung, unsere cookierichtlinie",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||datenschutzrichtlinie,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||de 3-4 jul,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||decoration,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||deelnemen,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||delantal cocina,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||delivery options,98,0.0,0.0,0.0,1.0,1.0,0.15306122448979592,0.15306122448979592
a||||||denunciar infração de propriedade intelectua,3,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666
a||||||descarga la app,5,0.0,0.0,0.0,1.0,1.0,0.4,0.4
a||||||desk,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||desk organizer,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||deutsch,13,0.0,0.0,0.0,1.0,1.0,0.5384615384615384,0.5384615384615384
a||||||devenir membre,3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||devoluciones nacionales 15 días,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||di più e meglio!,10,0.0,0.0,0.0,1.0,1.0,0.1,0.1
a||||||diaper bag,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||dingtalk,96,0.0,0.0,0.0,1.0,1.0,0.5104166666666666,0.5104166666666666
a||||||disputas,4,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||disputes & reports,87,0.0,0.0,0.0,1.0,1.0,0.45977011494252873,0.45977011494252873
a||||||diversão máxima,10,0.0,0.0,0.0,1.0,1.0,0.1,0.1
a||||||dog clothes,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||download the app,78,0.0,0.0,0.0,1.0,1.0,0.19230769230769232,0.19230769230769232
a||||||drawer handles,2,0.0,0.0,0.0,1.0,1.0,0.5,0.5
a||||||drawing tablet,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||dress,2,0.0,0.0,0.0,1.0,1.0,0.5,0.5
a||||||dressers,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||dresses,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||dresses for women,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||dresses for women party,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||drones,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||dry herb vaporizer,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||dutch,80,0.0,0.0,0.0,1.0,1.0,0.4625,0.4625
a||||||earing,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||earrings,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||earrings for women,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||economisez gros sur notre app,3,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666
a||||||economize muito em nosso app!,3,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
a||||||einkaufswagen,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||electronics,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||electroniques,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||eletrônicos,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||emerald wedding rings,2,0.0,0.0,0.0,1.0,1.0,0.5,0.5
a||||||empfohlene mrken,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||english,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||enjoy coupons & offers,3,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0
a||||||entre,3,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0
a||||||entrega en 2-5 días,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||eraser,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||español,13,0.0,0.0,0.0,1.0,1.0,0.5384615384615384,0.5384615384615384
a||||||esportes,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||exercise,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||explore your membership,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
a||||||external hard drive,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||eyelash packaging,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||face massager,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||face steamer,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
a||||||fake collar shirt,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
